frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
371,1,[142.6731003728255 58.4871749009301 363.71368459267546 220.93895823703582],[191 132 249 145],0.848834753,02너1236,0.9192
386,1,[129.90162028082005 57.62362077704077 350.8705037496673 223.09838624316862],[184 136 247 150],0.857886314,02너1236,0.9816
388,1,[129.15780094335258 59.906836129963494 350.0319084194584 224.13604008434476],[184 137 247 151],0.858778536,02너1236,0.9651
391,1,[127.77237006494207 60.52416719650866 349.0184276704912 226.34143000399183],[184 137 247 152],0.857346833,02너1236,0.9851
392,1,[127.79264964776654 60.67729436649171 349.04752355494736 225.84084623068117],[184 137 247 152],0.8616485,02너1236,0.9858
394,1,[126.15790055739673 61.09315799814061 347.3969787876838 225.6180968110756],[183 137 248 153],0.866467059,02너1236,0.9581
395,1,[125.60545204459302 61.04185774269365 346.56949477202795 226.03073533401817],[183 137 248 153],0.859997809,02너1236,0.9919
396,1,[125.6999715274786 61.351947450506344 346.13940118609446 227.00833366170693],[183 137 248 153],0.861482024,02너1236,0.9911
397,1,[125.33515707451414 60.79933555677745 345.89837806979205 226.99862625159113],[183 138 249 153],0.861258864,02너1236,0.9898
398,1,[125.39632635479583 60.592845187936135 346.1468677294157 225.76779793409332],[183 138 249 153],0.856958449,02너1236,0.9558
400,1,[124.84937695787895 61.10740800855925 345.05802665683484 225.765356220415],[183 139 249 153],0.851051748,02너1236,0.9947
401,1,[124.18364213522374 61.22139048751757 344.8500117674706 226.6954732692863],[183 139 249 154],0.851762593,02너1236,0.9873
402,1,[123.95645195803245 61.46184541326379 344.960660526819 227.89261908000964],[183 140 250 154],0.859088659,02너1236,0.9947
403,1,[124.35534416469606 61.49071573994101 345.236404484898 228.61506817213646],[183 140 251 155],0.861784518,02너1236,0.9942
404,1,[123.68043641744931 61.94305776374085 344.35326639253026 229.44532411282046],[183 140 250 155],0.860255778,02너1236,0.995
405,1,[122.26088659571649 61.248835833209924 343.3328376944936 229.56805510043563],[182 140 250 155],0.860280216,02너1236,0.9956
406,1,[121.84378280478606 61.63699513367864 343.0094224547196 229.0306828780939],[182 141 250 155],0.859489679,02너1236,0.9933
